hashtag,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31
#japan_night_view,5,4,2,0,0,0,4,1,0,1,1,3,0,2,1,3,1,2,3,5,3,2,0,4,3,2,0,1,0,0,0
#genic_mag,1,5,1,1,5,1,3,2,2,1,1,1,2,2,2,1,2,1,2,0,1,1,2,0,2,0,1,2,2,5,1
#tv_kidz,4,1,1,1,2,1,4,3,1,1,1,1,1,1,2,1,2,1,0,1,1,2,3,0,6,0,1,4,2,1,3
#撮りたい世界が地元にある,0,0,0,0,1,0,1,6,1,1,2,7,4,3,6,5,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
#福井ランチ,2,1,0,3,1,1,2,3,0,1,2,4,1,3,0,1,3,0,2,1,2,0,0,2,1,1,2,3,6,2,3
#陶ふうりん,2,3,0,1,0,2,2,0,1,1,0,0,0,1,1,1,2,1,2,0,1,6,0,0,7,0,0,6,3,5,5
#神社,1,2,0,0,0,1,1,3,3,4,1,1,1,2,2,2,1,3,1,0,3,2,2,2,2,2,2,3,2,1,2
#ママカメラ,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,3,3,4,3,0,4,0,4,3,3,1,0,3,6,3,3
#花,1,2,2,0,0,3,3,0,2,0,0,2,6,1,3,3,2,2,2,1,0,1,1,1,2,0,1,5,1,2,2
#beautiful_photo_japan,3,2,0,0,1,3,1,2,3,0,7,5,7,5,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,3
#とっておきのまいおおの,1,2,0,2,1,2,1,5,1,1,0,6,2,3,4,0,2,1,2,1,0,1,0,1,0,1,0,1,1,5,3
#fujifilm,1,1,0,0,1,0,4,3,2,3,0,2,2,2,1,3,2,2,4,1,0,3,2,1,2,1,0,2,3,2,0
#ファインダー越しの私の世界,2,4,2,1,2,0,3,1,3,1,1,0,1,3,1,3,1,1,3,1,1,2,4,0,1,1,0,2,1,1,3
#三国花火大会,0,0,0,0,0,0,0,0,0,0,4,21,6,5,3,4,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0
#photo,2,3,1,3,2,3,4,2,2,3,4,0,2,1,1,2,2,2,1,0,1,1,1,0,1,0,0,2,1,1,1
#instapic,3,4,1,3,0,0,1,4,1,0,1,5,1,1,3,0,3,1,2,0,1,1,0,1,0,1,1,3,3,2,2
#photography,1,0,0,3,1,2,2,2,3,4,2,3,2,2,1,1,0,1,3,2,1,1,1,1,1,0,1,1,2,2,2
#visitjapanjp,0,0,1,0,2,1,0,1,0,4,1,5,6,3,6,4,2,0,1,0,1,3,1,2,1,1,1,0,2,0,0
#北陸,3,0,2,1,0,2,4,2,7,2,3,1,4,2,0,1,0,0,0,0,0,2,1,1,1,1,0,1,2,2,4
